REPO	JSON_COUNT	IMG_COUNT	JSON_STEM_MATCH_IMG_STEM	MATCH_RATIO	JSON_DIR_HINTS	IMG_DIR_HINTS	JSON_REF_HINTS
anno_00	113865	113864	113864	1.0000	data:113864,.:1	imgs:113864	no_explicit_ref_found_sample
anomalias-500	496	496	496	1.0000	data:496	imgs:496	no_explicit_ref_found_sample
anomalias_00	18978	18977	18977	0.9999	data:18977,.:1	imgs:18977	no_explicit_ref_found_sample
celto_curves	1	5691	0	0.0000	.:1	imgs:582,masks/celto.radiomemory.com.br_41290_5863:9,masks/celto.radiomemory.com.br_20727_2936:9	no_explicit_ref_found_sample
celto_curves.bak	1	3418	0	0.0000	.:1	imgs:582,masks/celto.radiomemory.com.br_41290_5863:5,masks/celto.radiomemory.com.br_20727_2936:5	no_explicit_ref_found_sample
celto_points	583	582	582	0.9983	points:582,.:1	imgs:582	no_explicit_ref_found_sample
denticao	46756	46755	46755	1.0000	data:46755,.:1	imgs:46755	no_explicit_ref_found_sample
desdentados	33319	33317	33317	0.9999	data:33317,.:2	imgs:33317	no_explicit_ref_found_sample
fabio-teeth-segmentation-original-dataset	40	40	40	1.0000	.:40	.:40	keys:path:161
hyperpans	617	615	615	0.9968	up:332,down:280,down/.ipynb_checkpoints:3	up:332,down:280,down/.ipynb_checkpoints:3	no_explicit_ref_found_sample
interproximais	3659	3658	3658	0.9997	data:3658,.:1	imgs:3658	no_explicit_ref_found_sample
interproximais.bak	2249	2248	2248	0.9996	data:2248,.:1	imgs:2248	no_explicit_ref_found_sample
longoeixo	51084	16422	51083	1.0000	data_longoeixo:16422,data_longoeixo_pre_correction:15165,data_longoeixo.SP-correction-bak:15165	imgs:16422	no_explicit_ref_found_sample
longoeixo.missmatch	10601	10645	10600	0.9999	data:10100,test_data:500,.:1	imgs:10145,test_imgs:500	no_explicit_ref_found_sample
longoeixo_sample	198	180	197	0.9949	data_longoeixo:180,data_procedimentos:17,.:1	imgs:180	no_explicit_ref_found_sample
metais	2001	2000	2000	0.9995	data:2000,.:1	imgs:2000	no_explicit_ref_found_sample
mista	7655	7654	7654	0.9999	data:6163,test_data:1491,.:1	imgs:6163,test_imgs:1491	no_explicit_ref_found_sample
panoramicas	126742	32518	126410	0.9974	metadata:17593,prediction_panorogram:16422,prediction_segmentation:16422	imgs:32518	no_explicit_ref_found_sample
panoramicas_anonymized	130201	32518	129869	0.9975	metadata:17593,prediction_panorogram:16422,prediction_segmentation:16422	imgs:32518	no_explicit_ref_found_sample
panoramicas_anonymized.delete	60943	16422	60548	0.9935	prediction_segmentation:16422,2022-05-26_data_longoeixo:16422,data_longoeixo:16422	imgs:16422	keys:imgorigin:2
panoramicas_sample	307	141	301	0.9805	data_longoeixo:141,data_procedimentos_pan:51,data_procedimentos_crop:44	imgs:141	no_explicit_ref_found_sample
panoramics_anonymized	98027	32518	97696	0.9966	metadata:17593,prediction_segmentation:16422,2022-05-26_data_longoeixo:16422	imgs:32518	no_explicit_ref_found_sample
panoramics_anonymized.delete	59472	16422	59077	0.9934	prediction_segmentation:16422,2022-05-26_data_longoeixo:16422,data_longoeixo:16422	imgs:16422	keys:imgorigin:2
panoramics_mixed	21163	10581	21162	1.0000	metadata:10581,data_longoeixo:10581,.:1	imgs:10581	no_explicit_ref_found_sample
panoramics_mixed_processed	21163	10581	21162	1.0000	data_longaxis:10581,metadata:10581,.:1	imgs:10581	no_explicit_ref_found_sample
panoramics_mixed_processed_anonymized	21163	10581	21162	1.0000	data_longaxis:10581,metadata:10581,.:1	imgs:10581	no_explicit_ref_found_sample
periapicais	42962	32591	42960	1.0000	data_classification:32591,data_longoeixo:10369,.:2	imgs:32591	refs:119_27-28_3iradiologia.com.br_131658_8317.jpg:1,262_18-17_analiseradiologia.com.br_342337_17636.jpg:1,(66_5)_23_examesodontoimagemradio.com.br_337952_27327.jpg:1 | keys:fname:35
periapicais_processed	150948	73411	147593	0.9778	metadata:41596,prediction_longaxis:41596,data_classification:32487	imgs:73411	keys:names:119
periapicais_processed_anonymized	156805	79266	153449	0.9786	metadata:41596,prediction_longaxis:41596,data_classification:32487	imgs:79266	keys:names:119
procedimentos	9890	9889	9889	0.9999	data:9889,.:1	imgs:9889	no_explicit_ref_found_sample
teles	20735	20734	20734	1.0000	data:20734,.:1	imgs:20734	refs:6016__r-4470-10001020.jpg:1,55342__r-85134-71121.jpg:1,59044__r-202495-94852.jpg:1 | keys:imager:119
tomo_views	4815	4814	4814	0.9998	data_axial:1607,data_coronal:1604,data_sagital:1603	imgs_axial:1607,imgs_coronal:1604,imgs_sagital:1603	no_explicit_ref_found_sample
tomobox	496	495	495	0.9980	data:495,.:1	imgs:495	no_explicit_ref_found_sample
tomos	1659	1658	1658	0.9994	data:1658,.:1	imgs:1658	no_explicit_ref_found_sample
tomoscoronal	556	555	555	0.9982	data:555,.:1	imgs:555	no_explicit_ref_found_sample
tomosuperior	440	439	439	0.9977	data:439,.:1	imgs:439	no_explicit_ref_found_sample
tomosuperior.old	459	458	458	0.9978	data:458,.:1	imgs:458	no_explicit_ref_found_sample
